STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Uttar Pradesh,14,Muzaffar Nagar,15 Neeraj Goyal,MALE,51,GENERAL,IND,Carrom Board,141,0,141,0.06,358658
Uttar Pradesh,14,Muzaffar Nagar,16 LALIT KUMAR,MALE,48,SC,IND,Balloon,102,0,102,0.05,358658
TURN OUT,,,,,,TOTAL:,,,224248,1295,225543,62.89,
Uttar Pradesh,15,Khatauli,1 VIKRAM SINGH,MALE,53,GENERAL,BJP,Lotus,100144,507,100651,45.34,318047
Uttar Pradesh,15,Khatauli,2 RAJPAL SINGH SAINI,MALE,68,GENERAL,RLD,Hand Pump,83975,331,84306,37.98,318047
Uttar Pradesh,15,Khatauli,3 KARTAR SINGH BHADANA,MALE,67,GENERAL,BSP,Elephant,31269,143,31412,14.15,318047
Uttar Pradesh,15,Khatauli,4 GAURAV KUMAR URF GAURAV BHATI,MALE,47,GENERAL,INC,Hand,1199,10,1209,0.54,318047
Uttar Pradesh,15,Khatauli,5 MANOJ PANWAR,MALE,47,GENERAL,ASPKR,Kettle,842,1,843,0.38,318047
Uttar Pradesh,15,Khatauli,6 NOTA,,,,NOTA,NOTA,822,2,824,0.37,318047
Uttar Pradesh,15,Khatauli,7 YAJPAL SINGH RATHI,MALE,65,GENERAL,IND,Truck,601,0,601,0.27,318047
Uttar Pradesh,15,Khatauli,8 BABLU RAM,MALE,50,SC,BSKP,Sewing Machine,594,1,595,0.27,318047
Uttar Pradesh,15,Khatauli,9 PRAMOD ARYA,MALE,53,GENERAL,IND,BOX,545,0,545,0.25,318047
Uttar Pradesh,15,Khatauli,10 SELU,MALE,39,GENERAL,SHS,Bow & Arrow,537,0,537,0.24,318047
Uttar Pradesh,15,Khatauli,11 RAJU BHATIA,MALE,41,GENERAL,PHSP,Whistle,235,0,235,0.11,318047
Uttar Pradesh,15,Khatauli,12 SATYAVEER SINGH,MALE,65,GENERAL,IND,Balloon,211,0,211,0.1,318047
TURN OUT,,,,,,TOTAL:,,,220974,995,221969,69.79,
Uttar Pradesh,16,Meerapur,1 Chandan Chauhan,MALE,33,GENERAL,RLD,Hand Pump,107124,297,107421,49.57,314587
Uttar Pradesh,16,Meerapur,2 PRASHANT CHAUDHARY,MALE,57,GENERAL,BJP,Lotus,79693,348,80041,36.94,314587
Uttar Pradesh,16,Meerapur,3 MOHD. SALIM,MALE,29,GENERAL,BSP,Elephant,23733,64,23797,10.98,314587
Uttar Pradesh,16,Meerapur,4 UMESH,MALE,37,GENERAL,ASPKR,Kettle,1624,4,1628,0.75,314587
Uttar Pradesh,16,Meerapur,5 JAMIL AHMAD,MALE,60,GENERAL,INC,Hand,1252,6,1258,0.58,314587
Uttar Pradesh,16,Meerapur,6 NOTA,,,,NOTA,NOTA,886,2,888,0.41,314587
Uttar Pradesh,16,Meerapur,7 SHAH ALAM,MALE,36,GENERAL,IND,Air Conditioner,410,0,410,0.19,314587
Uttar Pradesh,16,Meerapur,8 PRITI,FEMALE,25,GENERAL,RaNP,Ganna Kisan,307,2,309,0.14,314587
Uttar Pradesh,16,Meerapur,9 MADAN PAL,MALE,38,GENERAL,IND,Carrom Board,283,0,283,0.13,314587
Uttar Pradesh,16,Meerapur,10 HEM LATA,FEMALE,53,GENERAL,IND,Bat,260,2,262,0.12,314587
Uttar Pradesh,16,Meerapur,11 AMIT KUMAR,MALE,43,GENERAL,IND,Laptop,251,1,252,0.12,314587
Uttar Pradesh,16,Meerapur,12 PRAVEZ ALAM,MALE,32,GENERAL,RTSMJD,Ring,143,0,143,0.07,314587
