STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Kerala,33,KONDOTTY,2 KATTUPARUTHY SULAIMAN HAJI,MALE,56,GENERAL,IND,Auto- Rickshaw,64015,1078,65093,39.66,205411
Kerala,33,KONDOTTY,3 SHEEBA UNNIKRISHNAN,FEMALE,42,GENERAL,BJP,Lotus,10904,210,11114,6.77,205411
Kerala,33,KONDOTTY,4 Razak PALERI,MALE,45,GENERAL,WPOI,Gas Cylinder,2505,74,2579,1.57,205411
Kerala,33,KONDOTTY,5 SIVADASAN T,MALE,43,SC,BSP,Elephant,893,15,908,0.55,205411
Kerala,33,KONDOTTY,6 SULAIMAN HAJI,MALE,60,GENERAL,IND,Air Conditioner,893,12,905,0.55,205411
Kerala,33,KONDOTTY,7 NOTA,,,,NOTA,NOTA,552,2,554,0.34,205411
Kerala,33,KONDOTTY,8 C V IBRAHIM S/o MUHAMMED,MALE,51,GENERAL,IND,Window,230,3,233,0.14,205411
TURN OUT,,,,,,TOTAL:,,,161251,2894,164145,79.91,
Kerala,34,ERANAD,1 P.K. Basheer,MALE,61,GENERAL,IUML,Ladder,75952,2124,78076,54.49,179951
Kerala,34,ERANAD,2 K.T. Abdurahiman,MALE,60,GENERAL,IND,Auto- Rickshaw,54218,1312,55530,38.76,179951
Kerala,34,ERANAD,3 Adv. C. Dinesh,MALE,45,GENERAL,BJP,Lotus,6509,174,6683,4.66,179951
Kerala,34,ERANAD,4 Velayudhan,MALE,62,SC,BSP,Elephant,1227,20,1247,0.87,179951
Kerala,34,ERANAD,5 Adv. Sebastian,MALE,63,GENERAL,IND,Walking Stick,1077,23,1100,0.77,179951
Kerala,34,ERANAD,6 NOTA,,,,NOTA,NOTA,626,10,636,0.44,179951
TURN OUT,,,,,,TOTAL:,,,139609,3663,143272,79.62,
Kerala,35,NILAMBUR,1 P.V. ANVAR,MALE,53,GENERAL,IND,Auto- Rickshaw,79505,1722,81227,46.9,226115
